ID	Name	EventType	Odds	SkillID	SkillLevel	SkillCaster	SkillTarget	EventMask1	EventMask2	Save	Useage	EventSkillID	EventSkillLevel	AngleFlag	BeginAngle	EndAngle
0	未知	Hit	1024	19	1	EventCaster	EventCaster	1	0	0	0	0	0	0	0	0
3	未知	Hit	1024	33	1	EventCaster	EventCaster	1	0	0	0	0	0		0	0
5	忍术荒武刀	Dodge	1024	5010	9	EventTarget	EventTarget	262144	0	0	0	0	0		0	0
21	万花_毫针_被击回血1	BeHit	1024	151	1	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
42	纯阳_剑冲阴阳	Hit	410	337	1	EventCaster	EventTarget	131076	0	0	3	0	0		0	0
49	纯阳_玄一无相	Hit	410	338	1	EventCaster	EventTarget	131076	0	0	3	0	0		0	0
59	吐故纳新	BeHit	1024	340	1	EventCaster	EventTarget	131076	0	0	3	0	0		0	0
60	吐故纳新	BeHit	1024	340	2	EventCaster	EventTarget	131076	0	0	3	0	0		0	0
61	吐故纳新	BeHit	1024	340	3	EventCaster	EventTarget	131076	0	0	3	0	0		0	0
62	吐故纳新	BeHit	1024	340	4	EventCaster	EventTarget	131076	0	0	3	0	0		0	0
63	吐故纳新	BeHit	1024	340	5	EventCaster	EventTarget	131076	0	0	3	0	0		0	0
64	吐故纳新	BeHit	1024	340	6	EventCaster	EventTarget	131076	0	0	3	0	0		0	0
66	天策_徐如林_恢复生命 1级	Hit	512	408	1	EventCaster	EventCaster	131084	0	0	1	0	0		0	0
67	天策_掠如火_增加仇恨	BeHit	1024	410	1	EventCaster	EventTarget	1	0	0	1	0	0		0	0
68	天策_铁牢律_坚韧	BeHit	128	414	1	EventCaster	EventCaster	131564	0	0	1	0	0		0	0
77	七秀_袖手_鹊踏枝闪避1	Dodge	256	2933	1	EventCaster	EventTarget	131084	0	0	4	0	0		0	0
78	天策_徐如林_恢复生命 2级	Hit	512	408	2	EventCaster	EventCaster	131084	0	0	1	0	0		0	0
79	天策_徐如林_恢复生命 3级	Hit	512	408	3	EventCaster	EventCaster	131084	0	0	1	0	0		0	0
80	天策_徐如林_恢复生命 4级	Hit	512	408	4	EventCaster	EventCaster	131084	0	0	1	0	0		0	0
81	天策_御_驱散BUFF_1级	BeHit	1024	443	1	EventCaster	EventCaster	131564	0	0	1	0	0		0	0
82	天策-龙吟_攻击被躲闪(为启用)	BeDodge	1024	448	1	EventCaster	EventTarget	131076	0	0	1	0	0		0	0
83	天策-龙吟_躲闪攻击(未启用)	Dodge	1024	448	1	EventCaster	EventCaster	131076	0	0	1	0	0		0	0
84	天策_守如山_傲血战意_反击	BeHit	0	417	1	EventCaster	EventTarget	131076	0	0	1	0	0		0	0
86	少林_攻击增加点	Hit	1024	204	1	EventCaster	EventCaster	67108864	131072	0	5	0	0		0	0
87	少林_被击增加点	BeHit	1024	339	1	EventCaster	EventCaster	131564	0	0	5	0	0		0	0
88	天策_龙吟触发克敌(废弃)	CriticalStrike	174	448	1	EventCaster	EventCaster	131076	0	0	1	0	0		0	0
89	纯阳_紫霞功_放气后回气	CriticalStrike	1024	336	2	EventCaster	EventCaster	536870912	16	0	3	0	0		0	0
90	会心50%回气半格	CriticalStrike	512	336	1	EventCaster	EventCaster	131076	0	0	3	0	0		0	0
91	少林_被击回血1	BeHit	256	268	1	EventCaster	EventCaster	131564	0	0	5	0	0		0	0
92	少林_被击回血2	BeHit	256	268	2	EventCaster	EventCaster	131564	0	0	5	0	0		0	0
93	少林_被击回血3	BeHit	256	268	3	EventCaster	EventCaster	131564	0	0	5	0	0		0	0
94	少林_被击回血4	BeHit	256	268	4	EventCaster	EventCaster	131564	0	0	5	0	0		0	0
95	少林_被击回血5	BeHit	256	268	5	EventCaster	EventCaster	131564	0	0	5	0	0		0	0
98	少林_被击加防2	BeHit	512	273	1	EventCaster	EventCaster	131564	0	0	5	0	0		0	0
99	少林_被击增加点2	BeHit	153	3681	1	EventCaster	EventCaster	131564	0	0	5	0	0		0	0
100	万花_厥阴指_打断后沉默	HitOTAction	1024	144	1	EventCaster	EventTarget	2097152	0	0	2	0	0		0	0
101	万花-傍花随柳-施技定身1级	Cast	1024	150	1	EventCaster	EventCaster	28	0	0	2	0	0		0	0
103	七秀_冰心诀_被击冰环	BeHit	102	509	1	EventCaster	EventTarget	131084	0	0	4	0	0		0	0
104	万花-傍花随柳-施技定身2级	Cast	1024	150	2	EventCaster	EventCaster	28	0	0	2	0	0		0	0
105	万花-傍花随柳-施技定身3级	Cast	1024	150	3	EventCaster	EventCaster	28	0	0	2	0	0		0	0
106	万花-傍花随柳-施技定身4级	Cast	1024	150	4	EventCaster	EventCaster	28	0	0	2	0	0		0	0
107	万花-傍花随柳-施技定身5级	Cast	1024	150	5	EventCaster	EventCaster	28	0	0	2	0	0		0	0
108	万花_毫针_被击回血2	BeHit	1024	151	2	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
109	万花_毫针_被击回血3	BeHit	1024	151	3	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
110	万花_毫针_被击回血4	BeHit	1024	151	4	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
111	万花_毫针_被击回血5	BeHit	1024	151	5	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
112	万花_毫针_被击回血6	BeHit	1024	151	6	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
113	2938号任务用技能事件	BeHit	1024	5010	1	EventCaster	EventTarget	0	16777216	0	15	0	0		0	0
114	天策-破坚阵_击晕	HitOTAction	1024	478	1	EventCaster	EventTarget	1048576	0	0	1	0	0		0	0
115	万花_离经易道_太素九针_回内	Cast	205	292	1	EventCaster	EventCaster	8388608	0	0	2	0	0		0	0
116	万花_离经易道_太素九针_瞬发2	Cast	102	293	1	EventCaster	EventCaster	8388608	0	0	2	0	0		0	0
117	纯阳_剑飞惊天	HitOTAction	1024	335	1	EventCaster	EventTarget	0	0	0	3	310	0		0	0
118	天策_崩_打断施法成功效果_1级	HitOTAction	1024	483	1	EventCaster	EventTarget	2097152	0	0	1	0	0		0	0
119	经脉-两次攻击1	Hit	10	125	1	EventCaster	EventTarget	131076	0	0	31	0	0		0	0
120	经脉-两次攻击2	Hit	20	125	1	EventCaster	EventTarget	131076	0	0	31	0	0		0	0
121	经脉-两次攻击3	Hit	30	125	1	EventCaster	EventTarget	131076	0	0	31	0	0		0	0
122	经脉-定身1	Hit	10	294	1	EventCaster	EventTarget	131084	0	0	31	0	0		0	0
123	经脉-定身2	Hit	20	294	1	EventCaster	EventTarget	131084	0	0	31	0	0		0	0
124	经脉-定身3	Hit	30	294	1	EventCaster	EventTarget	131084	0	0	31	0	0		0	0
125	经脉-增加暴击1	Hit	10	295	1	EventCaster	EventCaster	131076	0	0	31	0	0		0	0
126	经脉-增加暴击2	Hit	20	295	1	EventCaster	EventCaster	131076	0	0	31	0	0		0	0
127	经脉-增加暴击3	Hit	30	295	1	EventCaster	EventCaster	131076	0	0	31	0	0		0	0
128	经脉-增加伤害1	Hit	10	296	1	EventCaster	EventCaster	131076	0	0	31	0	0		0	0
129	经脉-增加伤害2	Hit	20	296	1	EventCaster	EventCaster	131076	0	0	31	0	0		0	0
130	经脉-增加伤害3	Hit	30	296	1	EventCaster	EventCaster	131076	0	0	31	0	0		0	0
131	经脉-DOT1	Hit	10	297	1	EventCaster	EventCaster	480	0	0	31	0	0		0	0
132	经脉-DOT2	Hit	20	297	1	EventCaster	EventCaster	480	0	0	31	0	0		0	0
133	经脉-DOT3	Hit	30	297	1	EventCaster	EventCaster	480	0	0	31	0	0		0	0
134	经脉-减速1	Hit	10	298	1	EventCaster	EventTarget	480	0	0	31	0	0		0	0
135	经脉-减速2	Hit	20	298	1	EventCaster	EventTarget	480	0	0	31	0	0		0	0
136	经脉-减速3	Hit	30	298	1	EventCaster	EventTarget	480	0	0	31	0	0		0	0
137	经脉-击晕1	Hit	10	299	1	EventCaster	EventTarget	480	0	0	31	0	0		0	0
138	经脉-击晕2	Hit	20	299	1	EventCaster	EventTarget	480	0	0	31	0	0		0	0
139	经脉-击晕3	Hit	30	299	1	EventCaster	EventTarget	480	0	0	31	0	0		0	0
140	经脉-DEBUFF1	Hit	10	341	1	EventCaster	EventTarget	480	0	0	31	0	0		0	0
141	经脉-DEBUFF2	Hit	20	341	1	EventCaster	EventTarget	480	0	0	31	0	0		0	0
142	经脉-DEBUFF3	Hit	30	341	1	EventCaster	EventTarget	480	0	0	31	0	0		0	0
143	少林_被暴击增加点	BeCriticalStrike	1024	204	2	EventCaster	EventCaster	131564	0	0	5	0	0		0	0
144	天策_埋骨_龙吟触发致残1	Hit	338	518	1	EventCaster	EventTarget	4194304	0	0	1	0	0		0	0
145	天策_崩_打断施法成功效果_2级	HitOTAction	1024	483	2	EventCaster	EventTarget	2097152	0	0	1	0	0		0	0
146	天策_崩_打断施法成功效果_3级	HitOTAction	1024	483	3	EventCaster	EventTarget	2097152	0	0	1	0	0		0	0
147	天策_崩_打断施法成功效果_4级	HitOTAction	1024	483	4	EventCaster	EventTarget	2097152	0	0	1	0	0		0	0
148	天策_崩_打断施法成功效果_5级	HitOTAction	1024	483	5	EventCaster	EventTarget	2097152	0	0	1	0	0		0	0
152	天策_徐如林_恢复生命 5级	Hit	512	408	5	EventCaster	EventCaster	131084	0	0	1	0	0		0	0
153	万花_离经易道_被击回血	BeHitOTAction	205	598	1	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
154	万花_离经易道_被击回血	BeHitOTAction	205	598	2	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
155	万花_离经易道_被击回血	BeHitOTAction	205	598	3	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
156	万花_离经易道_被击回血	BeHitOTAction	205	598	4	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
157	万花_离经易道_被击回血	BeHitOTAction	205	598	5	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
158	万花_离经易道_被击回血	BeHitOTAction	205	598	6	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
159	万花_离经易道_被击回血	BeHitOTAction	205	598	7	EventCaster	EventCaster	131564	0	0	2	0	0		0	0
160	纯阳_太虚剑意_放气暴击1	CriticalStrike	1024	24964	1	EventCaster	EventTarget	536870912	0	0	3	0	0		0	0
161	纯阳_紫霞功_锁足1	Hit	34	602	1	EventCaster	EventTarget	0	4194304	0	3	0	0		0	0
162	万花_花间游_吞噬	Hit	204	601	1	EventCaster	EventTarget	16777216	0	0	2	0	0		0	0
163	天策_御_驱散BUFF_2级	BeHit	1024	443	2	EventCaster	EventCaster	131564	0	0	1	0	0		0	0
164	天策_御_驱散BUFF_3级	BeHit	1024	443	3	EventCaster	EventCaster	131564	0	0	1	0	0		0	0
165	天策_御_驱散BUFF_4级	BeHit	1024	443	4	EventCaster	EventCaster	131564	0	0	1	0	0		0	0
166	天策_御_驱散BUFF_5级	BeHit	1024	443	5	EventCaster	EventCaster	131564	0	0	1	0	0		0	0
167	天策_御_驱散BUFF_6级	BeHit	1024	443	6	EventCaster	EventCaster	131564	0	0	1	0	0		0	0
168	天策_御_增加仇恨_1级(未启用)	BeHit	1024	603	1	EventCaster	EventTarget	131564	0	0	1	0	0		0	0
169	天策_御_增加仇恨_2级(未启用)	BeHit	1024	603	2	EventCaster	EventTarget	131564	0	0	1	0	0		0	0
170	天策_御_增加仇恨_3级(未启用)	BeHit	1024	603	3	EventCaster	EventTarget	131564	0	0	1	0	0		0	0
171	天策_御_增加仇恨_4级(未启用)	BeHit	1024	603	4	EventCaster	EventTarget	131564	0	0	1	0	0		0	0
